path,q_mat,finger,sensor,mean_genuine,n_mates
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_01.png,0.2983876514718823,2303_1,A,0.5068585872650146,8
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_02.png,0.3049373685546275,2303_2,A,0.511003851890564,10
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_03.png,0.1977904242412622,2303_3,A,0.4341745674610138,9
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_04.png,0.4278480877333411,2303_4,A,0.5820993185043335,10
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_05.png,0.2383687521168887,2303_5,A,0.4659744203090668,10
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_06.png,0.3900569675988444,2303_6,A,0.5612428188323975,8
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_07.png,0.3663169367825713,2303_7,A,0.5477802753448486,8
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_08.png,0.3396119596159327,2303_8,A,0.5321850180625916,8
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_09.png,0.3849844639542587,2303_9,A,0.5583934783935547,7
data/SD302a/images/challengers/A/roll/png/00002303_A_roll_10.png,0.2987190849693893,2303_10,A,0.5070695877075195,7
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_01.png,0.5106678657250718,2304_1,A,0.6265376210212708,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_02.png,0.6147799208524474,2304_2,A,0.6831692457199097,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_03.png,0.6619307852458742,2304_3,A,0.7104284763336182,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_04.png,0.6465002659770407,2304_4,A,0.7013332843780518,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_05.png,0.7143610377138795,2304_5,A,0.7430590987205505,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_06.png,0.4452218677747279,2304_6,A,0.5915173292160034,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_07.png,0.8499858492686512,2304_7,A,0.852094292640686,9
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_08.png,0.6633589439354018,2304_8,A,0.7112802267074585,9
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_09.png,0.5070415964465452,2304_9,A,0.6246031522750854,10
data/SD302a/images/challengers/A/roll/png/00002304_A_roll_10.png,0.5421708386010059,2304_10,A,0.6433905363082886,10
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_01.png,0.5161642771395566,2306_1,A,0.629470944404602,10
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_02.png,0.6233903454933881,2306_2,A,0.6880373954772949,10
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_03.png,0.4589348103385096,2306_3,A,0.5988985896110535,10
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_04.png,0.5345860027081245,2306_4,A,0.6393215656280518,10
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_05.png,0.2070162173139716,2306_5,A,0.4417947828769684,8
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_06.png,0.455163542760335,2306_6,A,0.5968724489212036,10
data/SD302a/images/challengers/A/roll/png/00002306_A_roll_07.png,0.6326394056753921,2306_7,A,0.6933160424232483,10
