degradation,concept,spearman_rho,range_max_minus_clean,p_value
blur,ridge_valley_clarity,-0.42233427968264875,-0.1315630218014121,1.6985826666904402e-12
blur,noise_level,0.4576982157850356,0.18262682191561908,1.1660914769436351e-14
blur,contrast_uniformity,0.33903046228638467,0.04866417031735182,2.6428988295943965e-08
blur,usable_area,0.30357202448885573,0.009843382053077221,7.394436253853417e-07
blur,ridge_frequency,0.44833717387558025,0.10594914108514786,4.613183984372413e-14
blur,orientation_coherence,0.21492574000193904,0.018512530252337456,0.0005351123786178155
jpeg,ridge_valley_clarity,-0.11219066894513888,-0.03329659625887871,0.07314460027945426
jpeg,noise_level,0.12282821656951992,0.03734581352910027,0.049637661124382594
jpeg,contrast_uniformity,0.019998589533836385,0.006400967948138714,0.7501486421169955
jpeg,usable_area,0.025624670277397923,0.0016452986747026443,0.6832330747209672
jpeg,ridge_frequency,0.14608898737483317,0.04212101735174656,0.01935900186512113
jpeg,orientation_coherence,-0.12169354482291928,-0.01839788258075714,0.05179881427147691
pressure_wet,ridge_valley_clarity,-0.7744134670549409,-0.4625625074841082,2.0404833939219633e-52
pressure_wet,noise_level,-0.01612179439961751,-0.030209749122150242,0.797408023379602
pressure_wet,contrast_uniformity,0.823873477077995,0.11033198796212673,1.4076950845889261e-64
pressure_wet,usable_area,0.8397130507771019,0.021691247820854187,2.627763375203277e-69
pressure_wet,ridge_frequency,0.8496634394751041,0.14990847930312157,1.503757250528485e-72
pressure_wet,orientation_coherence,0.6838276771243699,0.03558087442070246,1.2369957339958637e-36
noise,ridge_valley_clarity,0.4224761136509738,0.20539476070553064,1.6668732528125565e-12
noise,noise_level,0.43798329418784937,0.22918349271640182,2.012105778489097e-13
noise,contrast_uniformity,0.4533486407563998,0.08374448120594025,2.2208805016177437e-14
noise,usable_area,0.2090159913217273,0.007243613712489605,0.0007650615262088539
noise,ridge_frequency,0.39836433903571006,0.09868867229670286,3.625675173442632e-11
noise,orientation_coherence,0.3835137716760442,0.019161755219101906,2.1436232253244322e-10
dry_skin,ridge_valley_clarity,0.17762340633244278,0.0525580788962543,0.00436135300935311
dry_skin,noise_level,-0.025151890382980987,-0.01851163781248033,0.6887704625349095
dry_skin,contrast_uniformity,-0.2535991353652444,-0.0963860391639173,4.0425370699716115e-05
dry_skin,usable_area,0.2432925336669552,0.009548882022500038,8.393209287938663e-05
dry_skin,ridge_frequency,0.48568678553451816,0.10538369417190552,1.4725991111735848e-16
dry_skin,orientation_coherence,-0.10514624851832652,-0.015668649226427078,0.09319815032720903
occlusion,ridge_valley_clarity,0.5940952153243215,0.17162735294550657,8.153863368251384e-26
occlusion,noise_level,-0.05607169547784859,-0.02978832076769322,0.3716109958287189
occlusion,contrast_uniformity,0.6356052900541286,0.08655362203717232,2.2400754236196573e-30
occlusion,usable_area,-0.8636270331314168,-0.4684610713738948,1.61539686335867e-77
occlusion,ridge_frequency,0.6113989594599814,0.11413134541362524,1.2352864753257489e-27
occlusion,orientation_coherence,0.6425551545020575,0.03801785875111818,3.2914576317571135e-31
ridge_stretch,ridge_valley_clarity,-0.022598878953129533,-0.0071728709153831005,0.7189529440383884
ridge_stretch,noise_level,0.027373955886740586,0.0055910516530275345,0.6628936213430666
ridge_stretch,contrast_uniformity,0.028130403717807683,0.005461519584059715,0.6541730525922127
ridge_stretch,usable_area,0.007895424236762828,0.0008537983521819115,0.8999610690292829
ridge_stretch,ridge_frequency,0.03512754615517833,0.01246570609509945,0.5758458336757498
ridge_stretch,orientation_coherence,-0.035458492081270186,-0.0036102142184972763,0.5722526185380669
orientation_break,ridge_valley_clarity,0.4004445705711447,0.10908971540629864,2.8065952511873295e-11
orientation_break,noise_level,0.07824507252600289,0.03565932041965425,0.2121379237899769
orientation_break,contrast_uniformity,0.6205236114222282,0.08341108541935682,1.2200123124317015e-28
orientation_break,usable_area,0.5524433066261895,0.016783740371465683,7.4085086700125955e-22
orientation_break,ridge_frequency,0.2512352358931597,0.05806967429816723,4.7931972988579076e-05
orientation_break,orientation_coherence,-0.7068532201427608,-0.26014142017811537,4.537423782887e-40
